"No.","Group Name","Contact","Contact TG/DMR ID"
"1","TS1 Tipicos","PT Hotspot 2|Portugal|Europe|Portugues|Worldwide Englis","268915|268|92|915|91"
"2","Todos TGs","Emergencia|PT Hotspot 1|Regional|Europe|Worldwide Englis|Portugues|Portugal|Local|CU3-Terceira Isl|PT Hotspot 2|Ilhas Azores|CU7-Faial Ils.","268112|268911|8|92|91|915|268|2|26863|268915|2686|26867"
